Ref,Val,Package,PosX,PosY,Rot,Side
C1,4pF,C_0603_1608Metric,23,-9.5075,180,top
C2,4pF,C_0603_1608Metric,23,-14.0075,180,top
C3,1uF,C_0603_1608Metric,26.75,-16,-90,top
C4,16pF,C_0603_1608Metric,30.475,-19.25,0,top
C5,16pF,C_0603_1608Metric,26.75,-21.6,-90,top
C6,10pF,C_0603_1608Metric,12.7,-21.6,90,top
C7,10pF,C_0603_1608Metric,12.7,-24.675,-90,top
C8,0u1F,C_0603_1608Metric,15.25,-16.75,-90,top
C9,0u1F,C_0603_1608Metric,13.6,-16.75,-90,top
C10,0u1F,C_0603_1608Metric,15.2,-19.3,180,top
C11,0u1F,C_0603_1608Metric,12.1,-16.75,-90,top
C12,0u1F,C_0603_1608Metric,27.5,-24,0,top
C13,0u1F,C_0603_1608Metric,18,-12.5,180,top
C14,0u1F,C_0603_1608Metric,19.5,-9.5075,180,top
C15,1uF,C_0603_1608Metric,19.5,-8.0075,180,top
C16,10uF,C_0805_2012Metric,19.3,-6.2575,180,top
C17,0u1F,C_0603_1608Metric,19.475,-24.7575,0,top
C18,1uF,C_0603_1608Metric,19.475,-26.2575,0,top
C19,10nF,C_0603_1608Metric,29.75,-16,90,top
C20,1uF,C_0603_1608Metric,28.25,-16,90,top
C21,0u1F,C_0603_1608Metric,48,-20,0,top
C22,4u7F,C_0603_1608Metric,48,-24,180,top
C23,2u2F,C_0603_1608Metric,48.5,-22.4,0,top
C24,0u1F,C_0603_1608Metric,40.75,-16.6,90,top
C25,470nF,C_0603_1608Metric,46.5,-28.25,180,top
C26,0u1F,C_0603_1608Metric,34,-26.75,180,top
C27,22nF,C_0603_1608Metric,34,-23.75,180,top
C28,470nF,C_0603_1608Metric,41.25,-30.75,180,top
C29,470nF,C_0603_1608Metric,36.75,-29.25,90,top
C30,0u1F,C_0603_1608Metric,34.1,-22.1,180,top
C31,0u1F,C_0603_1608Metric,34,-25.25,180,top
C32,270uF,A768-10,6.6,-25,90,top
C33,2u2F,C_0603_1608Metric,3.8,-33.1,0,top
C34,1nF/100V,C_0603_1608Metric,5.4,-42,180,top
C35,2u2F,C_0603_1608Metric,20.1,-31.5,180,top
C36,1nF/100V,C_0603_1608Metric,18,-41.725,-90,top
C37,2u2F,C_0603_1608Metric,32.5,-31.5,180,top
C38,1nF/100V,C_0603_1608Metric,29.25,-41.75,-90,top
C39,10uF,C_0805_2012Metric,48,-17.4,90,top
C40,0u1F,C_0603_1608Metric,46.25,-17.6,90,top
C41,4u7F,C_0805_2012Metric,42.75,-13.25,0,top
C42,0u1F,C_0603_1608Metric,39.25,-13.25,180,top
C43,0u1F,C_0603_1608Metric,40.5,-7,90,top
C44,22uF,C_0805_2012Metric,49,-11.75,0,top
C45,22uF,C_0805_2012Metric,49,-13.75,0,top
C46,10uF,C_0805_2012Metric,35.5,-8.95,-90,top
C47,22uF,C_0805_2012Metric,35.5,-12.5,-90,top
C48,0u1F,C_0603_1608Metric,33.225,-16,0,top
C49,0u1F,C_0603_1608Metric,33.225,-17.5,0,top
D1,ESD,SESD0402X1BN,23.25,-7.75,180,top
D2,BLINK,LTST-C190KGKT,20,-3.75,-90,top
D3,1N5819HW-7-F,SOD3715X145N,4.2,-36.48,90,top
D4,1N5819HW-7-F,SOD3715X145N,21.68,-29.5,0,top
D5,1N5819HW-7-F,SOD3715X145N,33.25,-29.5,0,top
D6,1N5819HW-7-F,SOD3715X145N,52,-18,0,top
D7,PWRLED,LTST-C190KGKT,37.25,-3.75,-90,top
D8,FLTLED,LTST-C190KGKT,37.7,-35.5,180,top
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,55.1625,-28.5,90,top
L1,2nH,L_0603_1608Metric,23.75,-11.7575,-90,top
L2,24nH,L_0603_1608Metric,27.5,-19.25,180,top
L3,2nH,L_0603_1608Metric,20.25,-11.72,90,top
L4,SDR0403-180ML,SDR0403-180ML,44.25,-9.5,90,top
R1,10k,R_0603_1608Metric,45.25,-38.5,-90,top
R2,10k,R_0603_1608Metric,33.5,-19.25,180,top
R3,10k,R_0603_1608Metric,44.5,-35.5,180,top
R4,1k,R_0603_1608Metric,15.8,-12.3,-90,top
R5,10R,R_0603_1608Metric,41.25,-32.25,0,top
R6,10R,R_0603_1608Metric,41.25,-33.75,0,top
R7,10R,R_0603_1608Metric,41.25,-35.25,0,top
R8,0R5,R_0603_1608Metric,5.4,-40.4,180,top
R9,0R5,R_0603_1608Metric,17.8,-30.75,90,top
R10,0R5,R_0603_1608Metric,29.25,-30.75,90,top
R11,33mR,R_2512_6332Metric,9.395,-43.5,90,top
R12,2R2,R_0603_1608Metric,43.75,-38.5,90,top
R13,2R2,R_0603_1608Metric,45.5,-33,0,top
R14,33mR,R_2512_6332Metric,20.75,-43.5,90,top
R15,2R2,R_0603_1608Metric,42.25,-38.5,90,top
R16,2R2,R_0603_1608Metric,45.5,-31.5,0,top
R17,33mR,R_2512_6332Metric,32.15,-43.5,90,top
R18,2R2,R_0603_1608Metric,40.75,-38.5,90,top
R19,2R2,R_0603_1608Metric,45.5,-30,0,top
R20,5k1,R_0603_1608Metric,49.9,-43.2,180,top
R21,5k1,R_0603_1608Metric,49.9,-44.7,180,top
R22,88k7,R_0603_1608Metric,43.5,-6,0,top
R23,22k1,R_0603_1608Metric,39.75,-4.75,0,top
R24,1k,R_0603_1608Metric,37.25,-6.75,-90,top
R25,10k,R_0603_1608Metric,26.5,-28.75,180,top
R26,5k1,R_0603_1608Metric,26.5,-30.25,180,top
R27,10k,R_0603_1608Metric,23.5,-27.25,0,top
R28,5k1,R_0603_1608Metric,23.5,-25.75,0,top
R29,10k,R_0603_1608Metric,26.5,-25.75,180,top
R30,5k1,R_0603_1608Metric,26.5,-27.25,180,top
R31,10k,R_0603_1608Metric,38.5,-16.5,0,top
R32,10k,R_0603_1608Metric,43.75,-16.6,-90,top
R33,10k,R_0603_1608Metric,42.25,-16.6,-90,top
R34,10k,R_0603_1608Metric,37.7,-32.5,0,top
R35,1k,R_0603_1608Metric,37.7,-34,0,top
SW1,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,48,-38.325,90,top
SW2,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,51.75,-38.325,90,top
U1,ESP32-S3FN8,ESP32-S3,21.25,-19.7575,-90,top
U2,TMC6200-TA,TMC6200-TA,41,-23.75,180,top
U3,ISC0602NLS,ISC0602NLSATMA1,8.545,-36,90,top
U4,ISC0602NLS,ISC0602NLSATMA1,14.195,-41.774,-90,top
U5,ISC0602NLS,ISC0602NLSATMA1,19.95,-35.9865,90,top
U6,ISC0602NLS,ISC0602NLSATMA1,25.6,-41.75,-90,top
U7,ISC0602NLS,ISC0602NLSATMA1,31.3,-36.024,90,top
U8,ISC0602NLS,ISC0602NLSATMA1,36.935,-41.637,-90,top
U9,USBLC6-2SC6,SOT-23-6,53.5,-21.25,90,top
U10,LMR50410XDBVR,LMR50410XFDBVR,38.900001,-10.5,0,top
U11,LD1117S33TR,LD1117S33TR,30.0375,-10.75,180,top
XTAL1,SC32S-7PF20PPM,SC32S-7PF20PPM,14.75,-23.1771,-90,top
Y1,ECS-400-10-37B2-CKY-TR,ECS-400-10-37B2-CKY-TR,30,-21.75,-90,top
